nome,pact
Abadia dos Dourados,A
Abaeté,B
Abre Campo,A
Acaiaca,A
Açucena,A
Água Boa,A
Água Comprida,A
Aguanil,B
Águas Formosas,A
Águas Vermelhas,B
Aimorés,B
Aiuruoca,A
Alagoa,A
Albertina,B
Além Paraíba,B
Alfenas,C
Alfredo Vasconcelos,A
Almenara,B
Alpercata,A
Alpinópolis,B
Alterosa,B
Alto Caparaó,A
Alto Jequitibá,B
Alto Rio Doce,A
Alvarenga,A
Alvinópolis,A
Alvorada de Minas,A
Amparo do Serra,A
Andradas,C
Andrelândia,A
Angelândia,A
Antônio Carlos,B
Antônio Dias,A
Antônio Prado de Minas,A
Araçaí,A
Aracitaba,A
Araçuaí,C
Araguari,C
Arantina,A
Araponga,A
Araporã,B
Arapuá,B
Araújos,B
Araxá,C
Arceburgo,B
Arcos,B
Areado,B
Argirita,B
Aricanduva,B
Arinos,B
Astolfo Dutra,B
Ataléia,A
Augusto de Lima,A
Baependi,B
Baldim,A
Bambuí,B
Bandeira,A
Bandeira do Sul,A
Barão de Cocais,B
Barão de Monte Alto,A
Barbacena,C
Barra Longa,A
Barroso,B
Bela Vista de Minas,B
Belmiro Braga,B
Belo Horizonte,C
Belo Oriente,B
Belo Vale,A
Berilo,A
Berizal,A
Bertópolis,B
Betim,C
Bias Fortes,A
Bicas,A
Biquinhas,A
Boa Esperança,B
Bocaina de Minas,B
Bocaiúva,B
Bom Despacho,B
Bom Jardim de Minas,A
Bom Jesus da Penha,A
Bom Jesus do Amparo,A
Bom Jesus do Galho,B
Bom Repouso,B
Bom Sucesso,B
Bonfim,A
Bonfinópolis de Minas,A
Bonito de Minas,B
Borda da Mata,B
Botelhos,A
Botumirim,B
Brás Pires,A
Brasilândia de Minas,B
Brasília de Minas,B
Braúnas,A
Brazópolis,B
Brumadinho,C
Bueno Brandão,B
Buenópolis,A
Bugre,A
Buritis,B
Buritizeiro,B
Cabeceira Grande,B
Cabo Verde,B
Cachoeira da Prata,A
Cachoeira de Minas,B
Cachoeira de Pajeú,B
Cachoeira Dourada,A
Caetanópolis,A
Caeté,B
Caiana,A
Cajuri,A
Caldas,B
Camacho,B
Camanducaia,B
Cambuí,B
Cambuquira,B
Campanário,A
Campanha,B
Campestre,B
Campina Verde,B
Campo Azul,B
Campo Belo,C
Campo do Meio,B
Campo Florido,A
Campos Altos,A
Campos Gerais,B
Cana Verde,B
Canaã,A
Canápolis,A
Candeias,B
Cantagalo,A
Caparaó,A
Capela Nova,A
Capelinha,B
Capetinga,A
Capim Branco,A
Capinópolis,B
Capitão Andrade,A
Capitão Enéas,A
Capitólio,A
Caputira,A
Caraí,A
Caranaíba,A
Carandaí,B
Carangola,B
Caratinga,C
Carbonita,A
Careaçu,B
Carlos Chagas,A
Carmésia,A
Carmo da Cachoeira,B
Carmo da Mata,B
Carmo de Minas,A
Carmo do Cajuru,B
Carmo do Paranaíba,B
Carmo do Rio Claro,B
Carmópolis de Minas,B
Carneirinho,A
Carrancas,A
Carvalhópolis,B
Carvalhos,B
Casa Grande,A
Cascalho Rico,B
Cássia,A
Cataguases,B
Catas Altas,B
Catas Altas da Noruega,A
Catuji,A
Catuti,B
Caxambu,B
Cedro do Abaeté,A
Central de Minas,A
Centralina,A
Chácara,A
Chalé,A
Chapada do Norte,B
Chapada Gaúcha,B
Chiador,A
Cipotânea,A
Claraval,A
Claro dos Poções,A
Cláudio,B
Coimbra,A
Coluna,A
Comendador Gomes,A
Comercinho,A
Conceição da Aparecida,B
Conceição da Barra de Minas,B
Conceição das Alagoas,B
Conceição das Pedras,B
Conceição de Ipanema,B
Conceição do Mato Dentro,B
Conceição do Pará,B
Conceição do Rio Verde,A
Conceição dos Ouros,B
Cônego Marinho,A
Confins,A
Congonhal,B
Congonhas,B
Congonhas do Norte,A
Conquista,A
Conselheiro Lafaiete,C
Conselheiro Pena,B
Consolação,B
Contagem,C
Coqueiral,A
Coração de Jesus,B
Cordisburgo,A
Cordislândia,A
Corinto,B
Coroaci,A
Coromandel,B
Coronel Fabriciano,C
Coronel Murta,A
Coronel Pacheco,A
Coronel Xavier Chaves,B
Córrego Danta,B
Córrego do Bom Jesus,B
Córrego Fundo,B
Córrego Novo,A
Couto de Magalhães de Minas,A
Crisólita,A
Cristais,B
Cristália,A
Cristiano Otoni,A
Cristina,B
Crucilândia,A
Cruzeiro da Fortaleza,B
Cruzília,B
Cuparaque,A
Curral de Dentro,B
Curvelo,B
Datas,A
Delfim Moreira,B
Delfinópolis,B
Delta,A
Descoberto,B
Desterro de Entre Rios,A
Desterro do Melo,A
Diamantina,B
Diogo de Vasconcelos,A
Dionísio,B
Divinésia,A
Divino,B
Divino das Laranjeiras,A
Divinolândia de Minas,B
Divinópolis,C
Divisa Alegre,A
Divisa Nova,A
Divisópolis,B
Dom Bosco,B
Dom Cavati,A
Dom Joaquim,B
Dom Silvério,A
Dom Viçoso,A
Dona Euzébia,B
Dores de Campos,B
Dores de Guanhães,A
Dores do Indaiá,B
Dores do Turvo,A
Doresópolis,A
Douradoquara,B
Durandé,A
Elói Mendes,B
Engenheiro Caldas,A
Engenheiro Navarro,B
Entre Folhas,A
Entre Rios De Minas,A
Ervália,B
Esmeraldas,B
Espera Feliz,B
Espinosa,B
Espírito Santo do Dourado,B
Estiva,B
Estrela Dalva,B
Estrela do Indaiá,B
Estrela do Sul,B
Eugenópolis,A
Ewbank da Câmara,A
Extrema,C
Fama,B
Faria Lemos,A
Felício dos Santos,A
Felisburgo,A
Felixlândia,A
Fernandes Tourinho,A
Ferros,A
Fervedouro,A
Florestal,B
Formiga,B
Formoso,B
Fortaleza de Minas,A
Fortuna de Minas,A
Francisco Badaró,B
Francisco Dumont,B
Francisco Sá,B
Franciscópolis,A
Frei gaspar,A
Frei Inocêncio,A
Frei Lagonegro,A
Fronteira,A
Fronteira dos Vales,B
Fruta de Leite,B
Frutal,B
Funilândia,A
Galiléia,A
Gameleiras,B
Glaucilândia,A
Goiabeira,A
Goianá,B
Gonçalves,B
Gonzaga,A
Gouveia,A
Governador Valadares,C
Grão Mogol,A
Grupiara,B
Guanhães,B
Guapé,B
Guaraciaba,A
Guaraciama,B
Guaranésia,A
Guarani,A
Guarará,B
Guarda-Mor,B
Guaxupé,B
Guidoval,A
Guimarânia,B
Guiricema,A
Gurinhatã,A
Heliodora,B
Iapu,B
Ibertioga,A
Ibiá,B
Ibiaí,B
Ibiracatu,A
Ibiraci,A
Ibirité,C
Ibitiúra de Minas,B
Ibituruna,B
Icaraí de Minas,A
Igarapé,B
Igaratinga,B
Iguatama,B
Ijaci,A
Ilicínea,A
Imbé de Minas,B
Inconfidentes,B
Indaiabira,B
indianópolis,B
Ingaí,A
Inhapim,B
Inhaúma,A
Inimutaba,A
Ipaba,B
Ipanema,B
Ipatinga,C
Ipiaçu,A
Ipuiúna,B
Iraí de Minas,A
Itabira,C
Itabirinha,B
Itabirito,B
Itacambira,A
Itacarambi,A
Itaguara,B
Itaipé,B
Itajubá,C
Itamarandiba,C
Itamarati de Minas,B
Itambacuri,B
Itambé do Mato Dentro,A
Itamogi,B
Itamonte,A
Itanhandu,B
Itanhomi,A
Itaobim,B
Itapagipe,B
Itapecerica,B
Itapeva,B
Itatiaiuçu,A
Itaú de Minas,B
Itaúna,C
Itaverava,A
Itinga,A
Itueta,A
Ituiutaba,C
Itumirim,B
Iturama,B
Itutinga,A
Jaboticatubas,B
Jacinto,B
Jacuí,A
Jacutinga,B
Jaguaraçu,A
Jaíba,B
Jampruca,A
Janaúba,C
Januária,B
Japaraíba,B
Japonvar,B
Jeceaba,B
Jenipapo de Minas,B
Jequeri,A
Jequitaí,B
Jequitibá,A
Jequitinhonha,B
Jesuânia,A
Joaíma,B
Joanésia,A
João Monlevade,B
João Pinheiro,C
Joaquim Felício,A
Jordânia,B
José Gonçalves de Minas,A
José Raydan,A
Josenópolis,A
Juatuba,B
Juiz de Fora,C
Juramento,A
Juruaia,B
Juvenília,A
Ladainha,A
Lagamar,B
Lagoa da Prata,B
Lagoa dos Patos,B
Lagoa Dourada,B
Lagoa Formosa,B
Lagoa Grande,B
Lagoa Santa,C
Lajinha,B
Lambari,B
Lamim,A
Laranjal,B
Lassance,B
Lavras,C
Leandro Ferreira,B
Leme do Prado,B
Leopoldina,B
Liberdade,A
Lima Duarte,A
Limeira do Oeste,A
Lontra,B
Luisburgo,B
Luislândia,B
Luminárias,B
Luz,B
Machacalis,A
Machado,B
Madre de Deus de Minas,A
Malacacheta,A
Mamonas,A
Manga,B
Manhuaçu,C
Manhumirim,B
Mantena,B
Mar de Espanha,B
Maravilhas,A
Maria da Fé,B
Mariana,B
Marilac,A
